time,energy,cmmt,sstot
49.000002,-282367.5156,2.360802,18.59994
99.000005,-280938.707,2.410793,18.265615
149.000007,-281256.7539,2.111834,19.66859
199.000009,-282316.5977,2.339171,18.724736
249.000012,-282182.8242,2.085921,18.312886
299.000014,-281441.9258,2.121556,18.832379
349.000017,-284306.5898,2.121369,19.005362
399.000019,-282473.1875,2.263171,18.300087
449.000021,-282161.3164,2.107433,19.267355
499.000024,-281612.4648,2.931951,20.378021
549.000026,-282404.9063,2.887803,20.182089
599.000028,-280993.207,2.869074,21.773501
649.000031,-283138.1992,2.976852,22.502717
699.000033,-282546.3086,2.988793,22.936336
749.000036,-283374.3633,3.088682,20.653379
799.000038,-282990.1055,2.79703,20.533991
849.00004,-284702.3828,2.883363,21.900664
899.000043,-285002.8828,3.013599,24.205452
949.000045,-281467.4063,2.890127,25.934375
999.000047,-280422.1328,3.093798,24.375783
1049.00005,-284209.3125,2.914918,23.738309
1099.000052,-285713.3672,2.719273,19.342593
1149.000055,-279779.0977,2.940955,22.798266
1199.000057,-284574.1523,2.808774,23.820254
1249.000059,-284528.3242,2.769825,23.171438
1299.000062,-283198.1992,2.967318,23.635029
1349.000064,-280982.6445,2.621452,20.47528
1399.000066,-281987.4727,3.065691,22.587671
1449.000069,-281025.043,3.010611,21.550909
1499.000071,-281282.2617,2.939349,22.901473
1549.000074,-286936.1953,2.903631,23.3406
1599.000076,-283801.7344,2.918612,24.764658
1649.000078,-281146.3164,2.853467,22.623997
1699.000081,-286568.7695,2.880967,22.452597
1749.000083,-286331.6875,2.871915,22.527204
1799.000085,-282830.0117,2.865551,18.943641
1849.000088,-282090.5898,2.923632,17.859695
1899.00009,-283041.3828,2.852065,21.752209
1949.000093,-281206.3828,2.971211,23.689067
1999.000095,-284150.1211,2.935486,23.224259
2049.000097,-282037.293,2.878012,18.984053
2099.0001,-280030.1875,3.095241,20.033179
2149.000102,-284869.9844,3.027779,18.522123
2199.000104,-279627.3516,3.013394,25.272098
2249.000107,-281972.9844,3.189506,23.502919
2299.000109,-285329.4551,3.067249,19.694265
2349.000112,-284768.9414,2.827297,20.56187
2399.000114,-282513.8828,2.942843,21.271838
2449.000116,-280584.7383,2.971502,21.089058
2499.000119,-281181.8867,3.004534,20.38598
2549.000121,-277197.3984,1.947844,13.429957
2599.000123,-286672.1406,2.844559,21.809006
2649.000126,-277514.1094,2.882198,22.646879
2699.000128,-280231.4688,3.043635,25.083712
2749.000131,-283744.4805,2.826141,20.327886
2799.000133,-279443.7617,3.101562,19.388374
2849.000135,-284310.8242,2.944102,27.383947
2899.000138,-282185.4688,2.570411,17.927611
2949.00014,-287468.0469,2.80941,18.125614
2999.000142,-284581.8242,2.886691,20.357823
3049.000145,-283827.3789,3.239134,26.823362
3099.000147,-280230.9102,3.118444,27.557445
3149.00015,-280197.9414,3.157349,28.074903
3199.000152,-284513.5469,3.006634,27.694191
3249.000154,-281057.9102,3.029537,27.234131
3299.000157,-278805.6484,3.012818,25.050276
3349.000159,-279127.7617,2.992566,28.111035
3399.000161,-282306.2578,3.105017,26.078452
3449.000164,-277108.9336,2.639069,20.886446
3499.000166,-280829.7266,2.634564,22.301772
3549.000169,-282314.4961,2.655677,21.673479
3599.000171,-286469.5352,2.69092,22.461781
3649.000173,-283655.6758,2.818789,26.694971
3699.000176,-285389.8359,2.704375,20.212084
3749.000178,-285044.7188,2.959839,26.313039
3799.00018,-287393.0586,2.635272,21.72497
3849.000183,-282003.4258,3.692202,18.617617
3899.000185,-283164.5625,2.812057,25.521006
3949.000188,-278135.793,3.523281,19.254472
3999.00019,-279774.1719,2.877412,22.682977
4049.000192,-283028.8359,2.986649,21.913053
4099.000195,-285399.0039,3.038236,20.899705
4149.000197,-278837.7109,3.161322,22.865408
4199.000199,-283970.75,3.120867,22.383729
4249.000202,-283737.6758,2.939804,21.32788
4299.000204,-279782.5195,3.133287,23.202892
4349.000207,-281369.918,3.12388,23.447595
4399.000209,-285048.7773,3.165849,22.836401
4449.000211,-279807.2539,3.014214,21.218824
4499.000214,-279279.3789,3.269975,16.730104
4549.000216,-285095.5781,3.003144,22.306522
4599.000218,-288482.3242,3.032963,22.712166
4649.000221,-283338.1797,3.126855,23.9334
4699.000223,-280436.8477,3.277806,22.96916
4749.000226,-277930.25,3.022695,19.549367
4799.000228,-284910.5117,3.095667,20.740589
4849.00023,-279497.9883,3.053822,19.026456
4899.000233,-278718.3008,3.035049,21.598393
4949.000235,-287042.1953,3.101895,22.278592
4999.000237,-276117.543,3.192188,21.274429
5049.00024,-284415.7539,3.435371,23.19875
5099.000242,-278211.0547,3.621415,23.076928
5149.000245,-283138.6953,3.169349,24.856348
5199.000247,-280052.3281,3.133443,22.923749
5249.000249,-280882.8359,3.183794,18.180849
5299.000252,-282229.2383,2.98982,18.4478
5349.000254,-280775.6914,3.057877,21.22068
5399.000256,-280610.8438,3.215196,18.008703
5449.000259,-282837.8008,3.119854,24.533563
