time,energy,cmmt,sstot,d12,d13,d14,d23,d24,d34,rg1,rg2,rg3,rg4
49.000002,-282367.5156,2.360802,18.59994,1.299039,1.733618,1.441743,1.714081,2.045832,1.050243,0.79965,0.716211,0.655513,0.649315
99.000005,-280938.707,2.410793,18.265615,1.305347,1.610807,1.50937,1.678058,2.150078,0.992348,0.793137,0.737542,0.661645,0.621359
149.000007,-281256.7539,2.111834,19.66859,1.709098,1.530729,1.3298,1.949257,2.568758,1.04715,0.774531,0.750965,0.654174,0.645957
199.000009,-282316.5977,2.339171,18.724736,1.685578,1.455525,1.2873,1.779824,2.450845,0.999025,0.751896,0.707899,0.684086,0.638909
249.000012,-282182.8242,2.085921,18.312886,1.91745,1.492185,1.354141,2.028253,2.68101,0.945716,0.778233,0.70391,0.665926,0.652135
299.000014,-281441.9258,2.121556,18.832379,1.824889,1.478692,1.34501,2.077245,2.654654,0.956379,0.747247,0.691501,0.687254,0.652004
349.000017,-284306.5898,2.121369,19.005362,1.776662,1.507674,1.374844,1.931363,2.591585,0.965297,0.753375,0.634988,0.674765,0.62818
399.000019,-282473.1875,2.263171,18.300087,1.239547,1.615253,1.512779,1.855237,2.392314,1.107222,0.667011,0.714638,0.649071,0.692555
449.000021,-282161.3164,2.107433,19.267355,1.287871,1.701454,1.625392,1.951726,2.481027,1.04202,0.675664,0.695503,0.623871,0.678532
499.000024,-281612.4648,2.931951,20.378021,1.263464,1.567652,1.483487,1.264374,1.857079,0.98517,0.766764,0.666875,0.721723,0.687512
549.000026,-282404.9063,2.887803,20.182089,1.254628,1.520492,1.515871,1.250211,1.933946,1.049786,0.762744,0.643646,0.705262,0.698602
599.000028,-280993.207,2.869074,21.773501,1.343543,1.536394,1.411608,1.249237,1.87725,1.070236,0.759088,0.653579,0.70126,0.701188
649.000031,-283138.1992,2.976852,22.502717,1.302281,1.553325,1.445983,1.207692,1.859952,1.006968,0.77842,0.653728,0.674026,0.682803
699.000033,-282546.3086,2.988793,22.936336,1.322173,1.450703,1.445282,1.194038,1.945885,1.0505,0.785945,0.664035,0.701371,0.657051
749.000036,-283374.3633,3.088682,20.653379,1.294688,1.470599,1.331633,1.238871,1.896393,1.036735,0.79681,0.664746,0.703846,0.693375
799.000038,-282990.1055,2.79703,20.533991,1.172451,1.736438,1.376802,1.493227,1.751985,1.050523,0.710289,0.741206,0.654233,0.637184
849.00004,-284702.3828,2.883363,21.900664,1.16116,1.768281,1.362036,1.462229,1.637848,1.062809,0.68436,0.68512,0.633189,0.631171
899.000043,-285002.8828,3.013599,24.205452,1.224562,1.570933,1.421696,1.233933,1.881406,1.033261,0.725211,0.67652,0.659029,0.64259
949.000045,-281467.4063,2.890127,25.934375,1.339909,1.608696,1.369955,1.20211,1.888743,1.093067,0.711809,0.664381,0.662764,0.637734
999.000047,-280422.1328,3.093798,24.375783,1.328895,1.641662,1.298026,1.175845,1.746402,1.03647,0.742879,0.663792,0.681824,0.645428
1049.00005,-284209.3125,2.914918,23.738309,1.290312,1.618685,1.371585,1.203851,1.872536,1.116207,0.728309,0.662555,0.699707,0.667235
1099.000052,-285713.3672,2.719273,19.342593,1.297075,1.736769,1.49952,1.393556,1.418025,1.189885,0.716261,0.666948,0.632205,0.713435
1149.000055,-279779.0977,2.940955,22.798266,1.244426,1.552405,1.515994,1.206656,1.919147,1.035559,0.737128,0.662061,0.678102,0.646357
1199.000057,-284574.1523,2.808774,23.820254,1.272547,1.566975,1.514006,1.246652,1.958921,1.075109,0.728214,0.672897,0.682809,0.631208
1249.000059,-284528.3242,2.769825,23.171438,1.295628,1.579528,1.543454,1.207309,1.962512,1.101272,0.705433,0.635118,0.676849,0.660218
1299.000062,-283198.1992,2.967318,23.635029,1.260624,1.514034,1.411934,1.247419,1.938712,1.060188,0.736546,0.666842,0.669401,0.635073
1349.000064,-280982.6445,2.621452,20.47528,1.19551,1.838793,1.398997,1.581355,1.666019,1.115952,0.716829,0.697719,0.651005,0.652356
1399.000066,-281987.4727,3.065691,22.587671,1.240511,1.537375,1.343728,1.22827,1.863918,1.07955,0.719619,0.665831,0.700506,0.650712
1449.000069,-281025.043,3.010611,21.550909,1.274984,1.557614,1.378436,1.202784,1.864876,1.074666,0.742112,0.644355,0.674322,0.669984
1499.000071,-281282.2617,2.939349,22.901473,1.290385,1.582729,1.418609,1.211629,1.88287,1.056398,0.715471,0.654598,0.689779,0.64937
1549.000074,-286936.1953,2.903631,23.3406,1.246008,1.619008,1.465236,1.210521,1.870971,1.082549,0.758452,0.669159,0.667229,0.637749
1599.000076,-283801.7344,2.918612,24.764658,1.319596,1.589333,1.419453,1.195444,1.882522,1.058879,0.701477,0.656816,0.696952,0.636391
1649.000078,-281146.3164,2.853467,22.623997,1.25565,1.575562,1.466659,1.292269,1.93629,1.034633,0.705728,0.653518,0.684885,0.667338
1699.000081,-286568.7695,2.880967,22.452597,1.259716,1.602648,1.494058,1.228285,1.906358,1.042521,0.716848,0.653223,0.684091,0.64562
1749.000083,-286331.6875,2.871915,22.527204,1.233339,1.49907,1.478411,1.256914,2.005202,1.11146,0.710259,0.646799,0.674882,0.668961
1799.000085,-282830.0117,2.865551,18.943641,1.1687,1.697209,1.37435,1.423074,1.719499,1.08551,0.757874,0.672749,0.655338,0.650177
1849.000088,-282090.5898,2.923632,17.859695,1.394079,1.78037,1.168205,1.542143,1.363456,1.133348,0.708768,0.720083,0.670683,0.656612
1899.00009,-283041.3828,2.852065,21.752209,1.249441,1.610364,1.543635,1.180548,1.929342,1.088579,0.732641,0.655182,0.682598,0.650091
1949.000093,-281206.3828,2.971211,23.689067,1.223159,1.562508,1.538019,1.218425,1.914929,0.983425,0.732892,0.645301,0.645785,0.648287
1999.000095,-284150.1211,2.935486,23.224259,1.267674,1.621372,1.508996,1.181195,1.865818,1.017686,0.729805,0.649471,0.652835,0.644102
2049.000097,-282037.293,2.878012,18.984053,1.412559,1.622465,1.178422,1.488513,1.462938,1.175766,0.700417,0.691048,0.666539,0.66689
2099.0001,-280030.1875,3.095241,20.033179,1.335812,1.578401,1.180983,1.464268,1.408044,1.133457,0.697304,0.695492,0.650015,0.669028
2149.000102,-284869.9844,3.027779,18.522123,1.384381,1.583765,1.126462,1.558855,1.408208,1.133099,0.73374,0.71186,0.668672,0.668532
2199.000104,-279627.3516,3.013394,25.272098,1.220379,1.599224,1.497509,1.210768,1.825,0.992002,0.666885,0.665352,0.647068,0.632939
2249.000107,-281972.9844,3.189506,23.502919,1.220006,1.575479,1.423695,1.157313,1.754849,0.980542,0.668376,0.670471,0.661004,0.650946
2299.000109,-285329.4551,3.067249,19.694265,1.30585,1.597341,1.230041,1.495323,1.372353,1.13487,0.695702,0.694567,0.671121,0.655875
2349.000112,-284768.9414,2.827297,20.56187,1.357516,1.631919,1.234598,1.571071,1.440879,1.170025,0.681261,0.683967,0.666818,0.661244
2399.000114,-282513.8828,2.942843,21.271838,1.324277,1.558948,1.24871,1.489122,1.431784,1.188562,0.667213,0.688672,0.668805,0.650912
2449.000116,-280584.7383,2.971502,21.089058,1.38188,1.561051,1.217789,1.46331,1.44856,1.144677,0.684122,0.69133,0.672356,0.673914
2499.000119,-281181.8867,3.004534,20.38598,1.309597,1.564263,1.246279,1.499025,1.373971,1.188476,0.682988,0.717226,0.666514,0.670852
2549.000121,-277197.3984,1.947844,13.429957,3.54876,1.206466,1.206082,4.042103,3.275364,1.269346,0.663855,0.641382,0.706297,0.627061
2599.000123,-286672.1406,2.844559,21.809006,1.348554,1.670262,1.281326,1.532226,1.394655,1.160031,0.668874,0.687439,0.667555,0.657105
2649.000126,-277514.1094,2.882198,22.646879,1.398875,1.605498,1.266437,1.528026,1.41382,1.114759,0.668151,0.694948,0.669589,0.672125
2699.000128,-280231.4688,3.043635,25.083712,1.238716,1.65425,1.41464,1.220443,1.774787,0.988533,0.647668,0.66155,0.671115,0.661357
2749.000131,-283744.4805,2.826141,20.327886,1.425767,1.566695,1.331028,1.543532,1.376057,1.126137,0.736866,0.705486,0.663993,0.655267
